output_type,biosample_group,track_count
CAGE,"CD14-positive, CD16-positive monocyte",4
CAGE,basophil,4
CAGE,epithelial cell of Malassez,4
CAGE,immature conventional dendritic cell,4
CAGE,mesothelial cell,4
CAGE,naive regulatory T cell,4
CAGE,neutrophil,4
CAGE,olfactory epithelial cell,4
CAGE,plasmacytoid dendritic cell,4
CAGE,A172,2
CAGE,A549,2
CAGE,Ammon's horn,2
CAGE,"CD14-positive, CD16-negative classical monocyte",2
CAGE,Caco-2,2
CAGE,DU 145,2
CAGE,G401,2
CAGE,GM12878,2
CAGE,HEK293,2
CAGE,HL-60,2
CAGE,HT1080,2
CAGE,HeLa-S3,2
CAGE,HepG2,2
CAGE,Jurkat,2
CAGE,K562,2
CAGE,Langerhans cell,2
CAGE,NCI-H226,2
CAGE,NCI-H460,2
CAGE,PC-3,2
CAGE,Raji,2
CAGE,SK-N-MC,2
CAGE,Schwann cell,2
CAGE,Sertoli cell,2
CAGE,THP-1,2
CAGE,acinar cell of salivary gland,2
CAGE,acinar cell of sebaceous gland,2
CAGE,adipocyte of breast,2
CAGE,adipocyte of omentum tissue,2
CAGE,adipose tissue,2
CAGE,adrenal gland,2
CAGE,adult organism,2
CAGE,amnion,2
CAGE,amnion mesenchymal stem cell,2
CAGE,amniotic epithelial cell,2
CAGE,amygdala,2
CAGE,annulus pulposus cell,2
CAGE,aorta,2
CAGE,aortic endothelial cell,2
CAGE,aortic smooth muscle cell,2
CAGE,artery,2
CAGE,astrocyte of the cerebellum,2
CAGE,astrocyte of the cerebral cortex,2
CAGE,blood,2
CAGE,bone marrow,2
CAGE,bone marrow cell,2
CAGE,brain,2
CAGE,breast,2
CAGE,bronchial epithelial cell,2
CAGE,bronchial smooth muscle cell,2
CAGE,calcaneal tendon,2
CAGE,camera-type eye,2
CAGE,capillary endothelial cell,2
CAGE,cardiac fibroblast,2
CAGE,cardiac mesenchymal cell,2
CAGE,cardiac muscle cell,2
CAGE,caudate nucleus,2
CAGE,cell of skeletal muscle,2
CAGE,central nervous system pericyte,2
CAGE,cerebellum,2
CAGE,cerebrospinal fluid,2
CAGE,chondrocyte,2
CAGE,colon,2
CAGE,corneal epithelial cell,2
CAGE,corpus callosum,2
CAGE,cranial nerve II,2
CAGE,cruciate ligament of knee,2
CAGE,dark melanocyte,2
CAGE,diaphragm,2
CAGE,diencephalon,2
CAGE,dorsal plus ventral thalamus,2
CAGE,duodenum,2
CAGE,dura mater,2
CAGE,egg chorion,2
CAGE,embryonic uterus,2
CAGE,endothelial cell of artery,2
CAGE,endothelial cell of lymphatic vessel,2
CAGE,endothelial cell of umbilical vein,2
CAGE,enteric smooth muscle cell,2
CAGE,eosinophil,2
CAGE,epididymis,2
CAGE,epithelial cell of esophagus,2
CAGE,epithelial cell of prostate,2
CAGE,epithelial cell of proximal tubule,2
CAGE,esophagus,2
CAGE,fat cell,2
CAGE,female gonad,2
CAGE,fibroblast of choroid plexus,2
CAGE,fibroblast of dermis,2
CAGE,fibroblast of gingiva,2
CAGE,fibroblast of lymphatic vessel,2
CAGE,fibroblast of mammary gland,2
CAGE,fibroblast of periodontium,2
CAGE,fibroblast of pulmonary artery,2
CAGE,fibroblast of the aortic adventitia,2
CAGE,fibroblast of the conjuctiva,2
CAGE,fibroblast of villous mesenchyme,2
CAGE,frontal cortex,2
CAGE,fungiform papilla,2
CAGE,gallbladder,2
CAGE,gamma-delta T cell,2
CAGE,gingival epithelial cell,2
CAGE,globus pallidus,2
CAGE,glomerular endothelial cell,2
CAGE,heart,2
